X [mm],Y [mm],Z [mm],mX [mm],mY [mm],mZ [mm],inFieldTag
-12.4,6.2,37.88,-11.586,5.79301,-30.25,0.071347
-10.32,-4.12,-15.88,-10.1693,-4.05984,-30.25,0.0922059
-8.24,4.12,8.92,-7.92009,3.96005,-30.25,0.157379
-4.16,-6.2,19.24,-3.95801,-5.89895,-30.25,1
-2.08,8.28,-15.88,-2.04963,8.1591,-30.25,1
8.24,-4.12,31.64,7.74567,-3.87283,-30.25,0.166768
-4.16,8.28,6.84,-4.00675,7.97498,-30.25,1
-4.16,-10.36,-5.56,-4.05672,-10.1028,-30.25,1
-4.16,4.12,25.48,-3.93392,3.8961,-30.25,1
0,2.04,35.8,0,1.90992,-30.25,1
-12.4,2.04,8.92,-11.9186,1.9608,-30.25,0.0697186
-2.08,10.36,37.88,-1.94346,9.67993,-30.25,1
-16.56,2.04,8.92,-15.9171,1.9608,-30.25,0.0447665
2.08,-6.2,39.96,1.93957,-5.78142,-30.25,1
-4.16,-8.28,0.68,-4.03142,-8.02407,-30.25,1
10.32,2.04,-11.72,10.1265,2.00175,-30.25,0.0928983
-12.4,-8.28,31.64,-11.6561,-7.78327,-30.25,0.0675112
-10.32,2.04,27.56,-9.7394,1.92523,-30.25,0.100151
4.16,-8.28,-15.88,4.09926,-8.1591,-30.25,1
10.32,-4.12,-5.56,10.0638,-4.01771,-30.25,0.0940053
-8.24,8.28,15.16,-7.87141,7.90962,-30.25,0.137934
0,-10.36,-15.88,0,-10.2087,-30.25,1
-14.48,8.28,-17.96,-14.2988,8.17638,-30.25,0.0497125
-16.56,-4.12,39.96,-15.442,-3.84185,-30.25,0.0467622
4.16,2.04,-9.64,4.07343,1.99755,-30.25,1
14.48,2.04,11,13.8892,1.95677,-30.25,0.0546954
0,8.28,-17.96,0,8.17638,-30.25,1
-2.08,8.28,23.4,-1.97096,7.84594,-30.25,1
2.08,-4.12,0.68,2.01571,-3.99265,-30.25,1
8.24,6.2,6.84,7.93645,5.9716,-30.25,0.138053
16.56,-2.04,-5.56,16.1488,-1.98935,-30.25,0.0438544
16.56,2.04,-1.4,16.0816,1.98106,-30.25,0.0441153
-10.32,-6.2,0.68,-10.001,-6.00836,-30.25,0.0902918
16.56,6.2,13.08,15.8517,5.93482,-30.25,0.0445282
2.08,6.2,31.64,1.95522,5.82805,-30.25,1
-12.4,8.28,27.56,-11.7024,7.81417,-30.25,0.0670902
2.08,-8.28,21.32,1.97497,-7.86191,-30.25,1
-8.24,-4.12,6.84,-7.93645,-3.96823,-30.25,0.156548
0,10.36,35.8,0,9.69937,-30.25,1
2.08,-10.36,15.16,1.98696,-9.89658,-30.25,1
-8.24,2.04,23.4,-7.80803,1.93306,-30.25,0.163212
10.32,6.2,2.76,9.98027,5.9959,-30.25,0.0906787
4.16,-2.04,27.56,3.92596,-1.92523,-30.25,1
-4.16,-6.2,15.16,-3.97392,-5.92266,-30.25,1
-14.48,-10.36,8.92,-13.9178,-9.95779,-30.25,0.0504199
2.08,-10.36,11,1.99513,-9.9373,-30.25,1
2.08,10.36,-1.4,2.01991,10.0607,-30.25,1
0,-8.28,-15.88,0,-8.1591,-30.25,1
-12.4,-4.12,6.84,-11.9432,-3.96823,-30.25,0.069478
0,-2.04,25.48,0,-1.92914,-30.25,1
-16.56,-6.2,0.68,-16.0481,-6.00836,-30.25,0.0437286
12.4,-8.28,-9.64,12.1419,-8.10769,-30.25,0.0632907
-12.4,2.04,39.96,-11.5628,1.90228,-30.25,0.0733724
-8.24,10.36,-3.48,-8.01864,10.0817,-30.25,0.116781
8.24,-8.28,-17.96,8.13688,-8.17638,-30.25,0.127871
