# Rotation: 0.0
# Particles: 1000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-18,8.4
-23,12.3
-25.4,13.8
-28.2,14.7
-30.4,13.7
-31.1,17.3
-33.4,23.1
-35.3,28.4
-35.5,30.5
-35.4,32.6
-34.9,33.2
-34.1,33.9
-30.9,33.4
-25.8,30
-21,16.7
-9.6,7.8
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
-54.6,-54.6
