# Rotation: 0.0
# Particles: 1000
# Jaws: X1[mm],X2[mm],Y1[mm],Y2[mm]
-48,53,-43,43
# MLC: Y1[mm],Y2[mm]
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
1.4,24
-3.6,26.2
-6.1,25.1
-8.7,24.2
-11,19.6
-11.4,26.8
-13.9,27.8
-15.9,30.1
-15.9,32.2
-15.9,34.6
-15.5,34.4
-14.7,36.6
-11.7,36.6
-7.2,35.9
-2.2,33.5
6.7,24.7
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
-32.3,-32.3
