CellIdX,CellIdY,CellIdZ,VoxelIdX,VoxelIdY,VoxelIdZ,CellPosX[mm],CellPosY[mm],CellPosZ[mm],VoxelPosX[mm],VoxelPosY[mm],VoxelPosZ[mm]
1,0,0,1,0,0,0,-6.2,-13.8,-2.08,-10.36,-17.96
1,0,0,1,0,1,0,-6.2,-13.8,-2.08,-10.36,-15.88
1,0,0,1,0,2,0,-6.2,-13.8,-2.08,-10.36,-13.8
1,0,0,1,0,3,0,-6.2,-13.8,-2.08,-10.36,-11.72
1,0,0,1,0,4,0,-6.2,-13.8,-2.08,-10.36,-9.64
1,0,0,1,1,0,0,-6.2,-13.8,-2.08,-8.28,-17.96
1,0,0,1,1,1,0,-6.2,-13.8,-2.08,-8.28,-15.88
1,0,0,1,1,2,0,-6.2,-13.8,-2.08,-8.28,-13.8
1,0,0,1,1,3,0,-6.2,-13.8,-2.08,-8.28,-11.72
1,0,0,1,1,4,0,-6.2,-13.8,-2.08,-8.28,-9.64
1,0,0,1,2,0,0,-6.2,-13.8,-2.08,-6.2,-17.96
1,0,0,1,2,1,0,-6.2,-13.8,-2.08,-6.2,-15.88
1,0,0,1,2,2,0,-6.2,-13.8,-2.08,-6.2,-13.8
1,0,0,1,2,3,0,-6.2,-13.8,-2.08,-6.2,-11.72
1,0,0,1,2,4,0,-6.2,-13.8,-2.08,-6.2,-9.64
1,0,0,1,3,0,0,-6.2,-13.8,-2.08,-4.12,-17.96
1,0,0,1,3,1,0,-6.2,-13.8,-2.08,-4.12,-15.88
1,0,0,1,3,2,0,-6.2,-13.8,-2.08,-4.12,-13.8
1,0,0,1,3,3,0,-6.2,-13.8,-2.08,-4.12,-11.72
1,0,0,1,3,4,0,-6.2,-13.8,-2.08,-4.12,-9.64
1,0,0,1,4,0,0,-6.2,-13.8,-2.08,-2.04,-17.96
1,0,0,1,4,1,0,-6.2,-13.8,-2.08,-2.04,-15.88
1,0,0,1,4,2,0,-6.2,-13.8,-2.08,-2.04,-13.8
1,0,0,1,4,3,0,-6.2,-13.8,-2.08,-2.04,-11.72
1,0,0,1,4,4,0,-6.2,-13.8,-2.08,-2.04,-9.64
1,0,0,2,0,0,0,-6.2,-13.8,0,-10.36,-17.96
1,0,0,2,0,1,0,-6.2,-13.8,0,-10.36,-15.88
